,Unnamed: 0,Unnamed: 0.1,Reservation-id,Gender,Age,Ethnicity,Educational_Level,Income,Country_region,Hotel_Type,No_of_Expected_Days_to_stay,Checking_Month,no_of_days_from_booking_to_ckeckin,Adults,Children,Babies,Meal_Type,Visted_Previously,Previous_Cancellations,Deposit_type,Booking_channel,Required_Car_Parking,Reservation_Status,Use_Promotion,Discount_Rate,Room_Rate
0,0,0,39428300,1,40,1,4,1,1,1,1,7,41,2,2,0,1,0,0,0,1,1,2,1,10,218
1,1,1,77491756,1,49,1,2,3,2,1,1,7,36,3,3,0,1,0,0,1,1,1,2,0,0,185
2,2,2,73747291,1,42,2,4,1,2,1,4,7,3,3,3,0,1,0,0,0,1,1,2,0,0,119
3,3,3,67301739,2,25,3,1,4,3,3,1,7,12,4,3,0,1,0,0,1,2,1,2,1,5,144
4,4,4,77222321,1,62,1,3,2,2,2,1,7,13,1,1,0,1,0,0,0,0,0,2,1,10,242
5,5,5,55152245,2,34,3,1,4,1,3,1,7,13,5,2,1,1,1,0,0,1,0,2,1,10,143
6,6,6,87139343,1,53,3,3,1,2,3,1,7,-1,2,1,0,1,1,1,1,1,1,2,1,25,212
7,7,7,7647912,2,40,1,2,4,1,1,1,7,8,2,1,0,2,0,0,0,1,1,2,0,0,170
8,8,8,94296865,2,59,3,2,4,4,2,1,5,84,3,2,0,1,0,0,2,0,1,2,1,10,245
9,9,9,93087487,2,21,1,4,3,4,1,3,4,72,2,3,0,0,1,0,1,1,0,2,1,20,212
10,10,10,21683013,2,69,3,3,1,3,1,3,6,20,1,3,0,1,0,0,2,1,0,2,0,0,106
11,11,11,41573356,1,52,1,1,3,3,3,1,7,34,4,3,0,0,1,0,0,1,1,2,1,10,208
12,12,12,27295370,2,55,2,1,2,1,1,1,7,67,1,2,0,1,1,0,0,1,0,2,0,0,145
13,13,13,84744933,1,42,4,4,1,2,3,4,7,14,1,2,0,0,1,0,0,1,1,2,1,25,180
14,14,14,79158038,1,69,3,1,2,4,3,2,7,35,1,2,2,1,0,0,1,1,1,2,1,15,246
15,15,15,49456071,2,42,2,4,4,1,2,1,7,67,3,3,1,1,0,0,0,2,1,2,1,10,203
16,16,16,99089071,1,22,4,4,2,3,2,3,7,34,1,2,0,1,0,0,0,2,1,2,0,0,220
17,17,17,26323232,2,32,4,2,1,3,3,1,7,11,1,1,2,1,1,0,0,0,0,2,0,0,182
18,18,18,14142898,1,55,4,1,1,2,3,1,7,-1,3,1,1,1,0,0,0,1,1,2,1,10,168
19,19,19,13898482,2,62,4,2,3,4,3,1,7,6,1,1,0,1,0,0,1,1,1,2,0,0,234
20,20,20,37437329,2,22,3,4,1,2,2,1,7,36,1,3,2,1,0,0,1,0,1,2,1,10,118
21,21,21,42680944,1,62,2,3,4,3,2,4,7,68,1,2,0,1,0,0,0,2,0,2,1,5,220
22,22,22,67286844,2,45,4,3,2,2,3,1,7,71,3,1,0,1,0,0,0,1,1,2,1,20,222
23,23,23,85519191,1,53,1,2,2,3,1,3,7,69,5,3,0,1,0,0,0,1,0,2,1,25,161
24,24,24,2579451,1,33,2,2,3,3,1,2,7,125,2,1,0,0,0,0,0,0,1,2,1,10,101
25,25,25,17727805,2,32,1,1,1,3,1,1,7,77,3,1,1,1,1,0,0,1,1,2,0,0,105
26,26,26,44808431,1,43,3,1,1,3,1,1,7,47,2,2,0,1,1,0,0,1,1,2,0,0,146
27,27,27,70317745,1,38,2,3,2,4,1,1,5,59,3,2,0,1,0,0,1,2,1,2,1,20,162
28,28,28,69306508,1,18,4,3,1,2,1,1,7,76,1,2,0,1,1,0,0,1,1,2,1,10,129
29,29,29,65535117,2,66,1,1,3,3,2,2,7,97,2,1,0,1,0,0,1,1,1,2,0,0,218
30,30,30,72188000,2,44,1,3,1,1,3,3,7,115,2,1,0,1,0,0,1,1,1,2,1,20,191
31,31,31,34053875,1,43,1,3,2,2,3,1,7,94,5,2,0,1,0,0,0,1,1,2,1,25,154
32,32,32,95959457,1,29,4,2,2,3,3,1,5,95,3,2,0,1,0,0,1,1,1,2,0,0,173
33,33,33,33334436,1,54,4,2,3,3,3,1,7,68,4,2,1,1,1,0,0,1,1,2,0,0,216
34,34,34,97828465,1,48,2,2,3,3,1,3,5,42,3,2,1,1,0,0,0,1,1,2,1,5,103
35,35,35,70532206,1,43,1,1,3,2,3,1,6,39,3,1,0,1,0,0,0,1,0,2,1,25,246
36,36,36,98511366,1,43,2,4,4,3,3,3,7,12,5,2,0,1,0,0,0,0,1,2,0,0,156
37,37,37,62860295,1,23,3,3,3,1,1,1,7,35,3,1,0,1,1,0,0,1,0,2,1,10,237
38,38,38,47244513,2,43,3,2,2,3,1,4,5,39,4,2,1,1,1,0,0,2,0,2,0,0,166
39,39,39,5385714,2,21,2,1,3,3,3,4,7,66,1,2,1,0,0,0,0,0,1,2,1,25,208
40,40,40,95106668,1,35,3,2,2,3,3,1,5,44,1,1,0,1,0,0,2,1,1,2,1,30,159
41,41,41,140349,1,36,2,2,2,3,2,3,7,42,2,2,0,1,0,0,0,1,0,2,1,10,188
42,42,42,7709904,1,51,3,1,3,2,2,1,7,15,2,1,0,1,0,0,0,0,1,2,1,20,134
43,43,43,89888538,1,29,2,1,3,1,3,1,7,69,2,1,0,0,1,1,0,1,1,2,1,20,218
44,44,44,37320420,1,68,2,3,3,2,3,4,7,103,1,2,1,1,0,0,0,0,1,2,0,0,101
45,45,45,94772738,2,44,4,1,3,4,2,3,6,44,2,1,0,1,0,0,1,0,1,2,0,0,124
46,46,46,67740487,1,62,2,3,1,3,2,2,7,94,3,2,1,1,1,0,0,1,1,2,1,10,243
47,47,47,56263406,2,68,1,3,1,3,3,1,7,112,1,1,1,1,0,0,1,1,1,2,1,25,238
48,48,48,93676283,2,69,2,4,1,3,2,4,7,86,2,2,0,0,0,0,0,1,1,2,0,0,150
49,49,49,73719356,1,66,3,4,4,1,3,1,7,49,1,2,0,0,0,0,0,0,1,2,1,5,111
50,50,50,62215136,1,32,4,4,3,3,2,3,7,110,2,2,0,1,1,0,0,1,1,2,1,20,240
51,51,51,53295296,2,59,1,3,2,3,3,1,7,92,3,1,0,1,0,0,0,1,0,2,1,40,237
52,52,52,21196935,2,44,3,1,3,4,1,1,7,75,2,2,0,1,0,0,0,2,1,2,0,0,228
53,53,53,6285306,1,48,1,3,3,2,1,1,7,2,2,2,1,1,1,1,0,1,0,2,1,25,175
54,54,54,50124298,2,28,3,1,4,1,3,4,7,-3,2,2,0,1,0,0,1,1,1,2,1,15,199
55,55,55,44843313,1,67,1,1,3,3,3,1,7,0,2,1,0,1,1,1,1,1,0,2,1,20,158
56,56,56,62712158,1,63,2,4,4,1,3,1,7,-1,2,2,1,1,0,0,0,0,1,2,1,10,131
57,57,57,62570719,2,38,2,4,3,1,3,1,7,-1,5,1,1,1,1,0,0,1,1,2,1,10,149
58,58,58,31873692,2,21,3,4,2,2,1,1,7,-1,2,2,0,1,1,0,1,1,1,2,1,20,140
59,59,59,88607277,2,60,1,3,4,3,3,1,7,13,2,1,1,1,0,0,2,1,1,2,1,10,143
60,60,60,45408396,1,26,4,3,1,2,1,1,7,9,1,1,0,1,0,0,1,0,1,2,1,5,225
61,61,61,60695251,2,52,2,4,4,3,3,1,7,4,3,1,1,1,1,0,2,1,0,2,1,25,201
62,62,62,18301716,2,24,2,3,2,3,2,1,7,16,2,2,0,1,1,0,0,0,1,2,0,0,123
63,63,63,75436311,2,60,4,2,1,3,3,1,7,92,4,2,0,1,1,1,0,1,1,2,1,25,242
64,64,64,51494336,1,26,4,2,2,1,1,2,6,1,1,3,0,0,1,1,1,1,0,2,1,15,179
65,65,65,37564720,1,26,3,1,1,1,1,1,7,9,1,1,0,1,1,0,0,0,1,2,1,10,232
