Reservation-id,Gender,Age,Ethnicity,Educational_Level,Income,Country_region,Hotel_Type,Expected_checkin,Expected_checkout,Booking_date,Adults,Children,Babies,Meal_Type,Visted_Previously,Previous_Cancellations,Deposit_type,Booking_channel,Required_Car_Parking,Reservation_Status,Use_Promotion,Discount_Rate,Room_Rate
39428300,F,40,Latino,Grad,<25K,North,City Hotel,7/1/2015,7/2/2015,5/21/2015,2,2,0,BB,No,No,No Deposit,Online,Yes,Check-In,Yes,10,218
77491756,F,49,Latino,Mid-School,50K -- 100K,East,City Hotel,7/1/2015,7/2/2015,5/26/2015,3,3,0,BB,No,No,Refundable,Online,Yes,Check-In,No,0,185
73747291,F,42,caucasian,Grad,<25K,East,City Hotel,7/2/2015,7/6/2015,6/29/2015,3,3,0,BB,No,No,No Deposit,Online,Yes,Check-In,No,0,119
67301739,M,25,African American,College,>100K,South,Airport Hotels,7/2/2015,7/3/2015,6/20/2015,4,3,0,BB,No,No,Refundable,Agent,Yes,Check-In,Yes,5,144
77222321,F,62,Latino,High-School,25K --50K,East,Resort,7/3/2015,7/4/2015,6/20/2015,1,1,0,BB,No,No,No Deposit,Direct,No,Check-In,Yes,10,242
55152245,M,34,African American,College,>100K,North,Airport Hotels,7/3/2015,7/4/2015,6/20/2015,5,2,1,BB,Yes,No,No Deposit,Online,No,Check-In,Yes,10,143
87139343,F,53,African American,High-School,<25K,East,Airport Hotels,7/3/2015,7/4/2015,7/4/2015,2,1,0,BB,Yes,Yes,Refundable,Online,Yes,Check-In,Yes,25,212
7647912,M,40,Latino,Mid-School,>100K,North,City Hotel,7/3/2015,7/4/2015,6/25/2015,2,1,0,FB,No,No,No Deposit,Online,Yes,Check-In,No,0,170
94296865,M,59,African American,Mid-School,>100K,West,Resort,5/6/2015,5/7/2015,2/11/2015,3,2,0,BB,No,No,Non-Refundable,Direct,Yes,Check-In,Yes,10,245
93087487,M,21,Latino,Grad,50K -- 100K,West,City Hotel,4/22/2015,4/25/2015,2/9/2015,2,3,0,HB,Yes,No,Refundable,Online,No,Check-In,Yes,20,212
21683013,M,69,African American,High-School,<25K,South,City Hotel,6/23/2015,6/26/2015,6/3/2015,1,3,0,BB,No,No,Non-Refundable,Online,No,Check-In,No,0,106
41573356,F,52,Latino,College,50K -- 100K,South,Airport Hotels,7/5/2015,7/6/2015,6/1/2015,4,3,0,HB,Yes,No,No Deposit,Online,Yes,Check-In,Yes,10,208
27295370,M,55,caucasian,College,25K --50K,North,City Hotel,7/5/2015,7/6/2015,4/29/2015,1,2,0,BB,Yes,No,No Deposit,Online,No,Check-In,No,0,145
84744933,F,42,Asian American,Grad,<25K,East,Airport Hotels,7/5/2015,7/9/2015,6/21/2015,1,2,0,HB,Yes,No,No Deposit,Online,Yes,Check-In,Yes,25,180
79158038,F,69,African American,College,25K --50K,West,Airport Hotels,7/5/2015,7/7/2015,5/31/2015,1,2,2,BB,No,No,Refundable,Online,Yes,Check-In,Yes,15,246
49456071,M,42,caucasian,Grad,>100K,North,Resort,7/5/2015,7/6/2015,4/29/2015,3,3,1,BB,No,No,No Deposit,Agent,Yes,Check-In,Yes,10,203
99089071,F,22,Asian American,Grad,25K --50K,South,Resort,7/5/2015,7/8/2015,6/1/2015,1,2,0,BB,No,No,No Deposit,Agent,Yes,Check-In,No,0,220
